P_Code,Longitud_E,Latitude_N,ACS_CODE,CAD_CODE,Governorate,Governorate_Arabic,District,District_Arabic,C_Ref_name,Village,Name of Health Facility,Short_Name,Name From MOPH List Arabic,"Focal Points at Health Facilities 

",Telephone,Fax,Mobile,E-mail,MOPH Network  (180)  March 2015,Added to the initial IfS list_March2015,MOPH Under probation_as of March2015 by MOPH, SUBSIDIZED SERVICES (3-5 consultation fees)  (YES)  / OR FULL PHC PRICE CHARGED TO REFUGEES ( NO) ,Funded by UNHCR 2015,Other Funding Agencies or  MOSA,Supported_By IP,Operational Status  (YES or NO),SOLAR FRIDGE NEED (PLEASE INSERT YES or NO ) Cold chain for vaccines,Other  Organization EN,Other  Organization Ar
10210_31_001,35.49161,33.87721,10210,10008,Beirut,بيروت,Beirut,بيروت,Msaitbe foncière,Wata El-Msaytbeh,The Drouz Charity Aassociation Dispensary,The Drouz Charity Aassociation Dispensary,مستوصف الجمعية الخيرية الدرزية – وطى المصيطبه - بيروت,Dr. Daad Slaman,01-306266,01-301885,03-750151,jadcd1929@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Ministry of Social Affairs with the Drouz Charity Association,وزارة الشؤون الاجتماعية / الجمعية الخيرية الدرزية
10210_31_002,35.48295128,33.88349974,10210,10008,Beirut,بيروت,Beirut,بيروت,Msaitbe foncière,Talet El-Khayat,Mother and Child Care Association Health Center,Mother and Child Care Association Center,مستوصف العناية بالطفل والام,Mrs. Nada Rbeiz,01-795589,01-792159,03-193799,n.saayfane@cmwhospital.com,New180,Old IFS,No,No,No,No,No,No,No,The Center is within the Mother and Child Care Association Hospital,جمعية العناية بالطفل و اللأم
10210_31_003,35.49122186,33.88622308,10210,10008,Beirut,بيروت,Beirut,بيروت,Msaitbe foncière,Msaitbe foncière,Medical Awqaf Zakat Fund,Medical Awqaf Zakat Fund,الاوقاف الطبي صندوق الزكاة,Mehye el din Aga,01-856118,01-810985,,dr_abedchawki@hotmail.com,No,No,No,No,No,No,No,No,No,Dar El-Fatwa,دار الفتوى
10210_31_004,35.48831174,33.88765751,10210,10008,Beirut,بيروت,Beirut,بيروت,Msaitbe foncière,Dar Al Fatwa,Dar El Fatwa Primary health care center (Aicha Bakkar ),Dar El Fatwa PHC center (Aicha Bakkar ),مركز دار الفتوى الطبي,Sheikh Mahmoud El Khatib,01-797400,01-785400,03-907938,imadkanawati@hotmail.com mariamghizzawi@hotmail.com,New180,Old IFS,No,No,No,No,No,No,No,Dar El-Fatwa / PU-AMI,دار الفتوى
10210_31_005,35.49137227,33.8916098,10210,10008,Beirut,بيروت,Beirut,بيروت,Msaitbe foncière,El-Zarif and Zaidanieh,El Zarif Medical center,El Zarif Medical center,الجمعية الخيرية الإسلامية - الظريف والزيدانية,Dr. Samia Mikdashi,01-736088,01-737006,03-879189,zarifmedicalcenter@live.com,New180,Old IFS,No,No,No,No,No,No,No,The Islamic Charity Association of Zarif and Zaidanieh,الجمعية الخيرية الإسلامية - للظريف و الزيدانية
10410_31_001,35.49792358,33.89180644,10410,10010,Beirut,بيروت,Beirut,بيروت,Zqaq el-Blat foncière,Zoqaq el Blat,Al Manasfi TB Center,Al Manasfi TB Center,المناصفي ,د. بسام بسام,01-377905,,,,No,No,No,Yes,No,MoPH,No,Yes,No,"TB Centers, MoPH",
53217_31_001,36.37803046,34.22604727,53217,53048,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Aain Baalbek,El Ain,El Ain PHCC,El Ain PHCC,, Al Baqi / Dr Malak Wehbe,08-325141,,03-064851 / 70-106035,,No,No,No,Yes,No,Amel,No,Yes,No,AMEL,0
53231_31_001,36.421344,34.179064,53231,53076,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Aarsal,Aarsal,Ersal PHCC (Leshmania trained),Ersal PHCC (Leshmania trained),,Salha Fliti / Dr Malak Wehbe / Leshmania focal: Dr Ali Daher ,08-325141,,71-813880 / 70-106 034 / 70-949107 ,,No,No,No,Yes,No,Amel,No,Yes,No,AMEL,0
53231_31_002,36.4077782,34.1905525,53231,53076,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Aarsal,Aarsal,Ersal PHC - RHF ,Ersal PHC - RHF ,المركز الصحي- عرسال,Dr. Masoud El-Hojeiri,08-241231,,03-535679,robakronbi@hotmail.com,New180,Old_list_ifs,No,Yes,No,IMC,No,Yes,No,IMC, مراكز وزارة الصحة العامة بادارة بلديات
53231_31_003,36.4215726,34.180338,53231,53076,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Aarsal,Aarsal,MSF clinic at Al Irshad ,MSF clinic at Al Irshad ,,MSF Medical Team Leader,08-375036,,76-512743,msfch-bekaa-fma@geneva.msf.org,No,No,No,Yes,No,MSF,No,Yes,No,MSF-Ch,0
53111_31_001,36.21682,33.99931,53111,53001,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Baalbek,Baalbek,Baalbek PHCC (RHF clinic ),Baalbek PHCC (RHF clinic ),مديرية الصحة - بعلبك - مؤسسة رفيق الحريري,Naji Mousallem /  Fatima Arafat - social worker,08-371010 / 08-3777731,,70-943093,,New180,Old_list_ifs,No,Yes,No,IMC,No,Yes,No,MOPH / Rafic hariri foundation /  IMC,موسسة رفيق الحريري / بلدية بعلبك
53111_31_002,36.207957,34.005186,53111,53001,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Baalbek,Baalbek,MSF clinic ,MSF clinic ,,MSF Medical Team Leader,08-375036,,76-512743,msfch-bekaa-fma@geneva.msf.org,No,No,No,Yes,No,MSF,No,Yes,No,MSF-Ch,0
53111_31_003,36.20795714,34.0051863,53111,53001,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Baalbek,Baalbek,Baalbeck MOSA,Baalbeck MOSA,مركز الخدمات الإنمائية - بعلبك,Mrs. Hoda Said -  manager,08-370892,,,,New180,New IFS,No,Yes,Yes,No,UNHCR-IMC,Yes,Yes,UNHCR/IMC/MOSA,0
53111_31_004,36.20849996,34.00539927,53111,53001,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Baalbek,Baalback Nasser Square,The Martyr Faraj Balouk Center,The Martyr Faraj Balouk Center,مركز الشهيد فرج بلوق- الهيئة الصحية,Mr. Jamal Tleis,08-373513,08-373512,03-044320,nadar123@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Islamic Health Society,الهيئة الصحية الاسلامية
53344_31_001,36.14221016,34.17163897,53344,53061,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Barqa,Barqa,Socio-Medical Center / Barqa,Socio-Medical Center / Barqa,المركز الطبي الاجتماعي- فرسان مالطا/ برقا,Sister Nohad Nassar,08-320590,,03-706115,nouhad.nassar@usj.edu.lb,New180,Old IFS,No,No,No,No,No,Yes,No,Sovereign Military Order of Malta,الجمعية اللبنانية لفرسان مالطا
53459_31_001,36.06193026,34.06214921,53459,53034,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Bouday,Boudai,Boudai Governmental Health Center,Boudai Governmental Health Center,مستوصف بلدية بوداي,Abdallah El-Siblani,08-300885,,70-801383,,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Ministry of Public Health with the Municipality of Boudai,وزارة الصحة العامة / البلدية / الهيئة الصحية الاسلامية
53429_31_001,36.0184503,33.96467941,53429,53015,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Chmistar,Chmestar,"Islamic health society, Chmestar",Chmestar Helath Center,المركز الصحي- شمسطار,Mr. Ali Ghosn,08-330024,,03-201664,nadar123@hotmail.com,New180,Old_list_ifs,No,Yes,No,IMC,No,Yes,No,The Islamic Health Society,الهيئة الصحية الاسلامية
53311_31_001,36.12981016,34.12598906,53311,53036,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Deir El-Ahmar,Deir El-Ahmar,Deir El-Ahmar Dispensary,Deir El-Ahmar Dispensary,المركز الصحي دير الأحمر,Sister Samia Chahin,08-320373,,71-0240002,cmdeir@gmail.com,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Maronite Diocese of Baalback and Deir El-Ahmar,مطرانية بعلبك و دير الاحمر المارونية
53183_31_001,36.03428686,33.9996059,53183,53019,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Hadath Baalbek,Haddath Baalback,Dispensary of the Lebanese Association / Haddath Baalback,Lebanese Association Haddath Baalback,مستوصف الجمعية اللبنانية - حدث بعلبك,Mr. Eid Kheri Eddine,08-331556,08-912983,70-450010,,No,Old_list_ifs,No,No,No,No,No,Yes,No,The Lebanese Association for Health and Social Care,الجمعية اللبنانية للرعاية الصحية الاجتماعية
53123_31_001,36.16996004,34.03066923,53123,53027,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Iaat,Iaat,Iaat MOPH primary health center,Iaat MOPH primary health center,ايعات الصحي الحكومي,Dr. Hani Abdl Sater ,08-379701,08-379122,03-857718,eiaat@idm.net.lb,New180,Old_list_ifs,No,No,No,No,No,Yes,No,MOPH / IOCC / ACT ALLIANCE , مراكز وزارة الصحة العامة بادارة بلديات
53234_31_001,36.35557781,34.1954277,53234,53041,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Laboue,Laboue,"Larboue PHCC MOPH, Pending Funding Approval","Larboue PHCC MOPH, Pending Funding Approval",مركز بلدية اللبوة - بعلبك,Mrs. Dima Rabah,08-233323,08-233655,71-738938,dimarabah@hotmail.com,New180,Old IFS,No,Yes,No,IMC,No,Yes,No,IMC, مراكز وزارة الصحة العامة بادارة بلديات
53445_31_001,36.11210008,33.87240955,53445,53014,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Nabi Chit,Nabi Cheet,Nabi Cheet helath Center,Nabi Cheet helath Center,المركز الصحي- النبي شيت,Mr. Iyman Jomaa,08-3357220,,03-580967,nadar123@hotmail.com,New180,Old IFS,No,No,No,No,No,Yes,No,The Islamic Health Society,الهيئة الصحية الاسلامية
53241_31_001,36.47256961,34.34370854,53241,54006bis,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Qaa Baalbek,Qaa,The Roman Catholic Diocese / Qaa Dispensary,The Roman Catholic Diocese / Qaa Dispensary,مستوصف مطرانية الروم الكاثوليك - القاع,Father Elian Nasrallah,08-255210,,03-703193,bernard.nasrallah@hotmail.com,New180,Old_list_ifs,Probation,Yes,No,MdM,No,Yes,No,The Roman Catholic Diocese ,مطرانية الروم الكاثوليك
53413_31_001,35.99500032,33.90699952,53413,53003,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Qsarnaba,Qsarnabah,The Socio Developmental Center / Qsarnabah,The Socio Developmental Center / Qsarnabah,مركز الانمائي الاجتماعي قصرنبا - بعلبك,Mr. Salman Dirani,08-912117,,70-414071 / 03-150994,samarb@sos.org.lb,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Children Villages Association (SOS),جمعية قرى الاطفال SOS
53413_31_002,35.989208,33.912983,53413,53003,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Qsarnaba,Qsarnabah,Dispensary of the Lebanese Association / Qsarnabah,Dispensary Lebanese Association Qsarnabah,مستوصف الجمعية اللبنانية قصرنبا,Mr. Eid Kheri Eddine,08-912983,,70-450010,,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Lebanese Association for Health and Social Care,الجمعية اللبنانية للرعاية الصحية الاجتماعية
53437_31_001,36.091864,33.878733,53437,53009,Baalbek-El Hermel,بعلبك - الهرمل,Baalbek,بعلبك,Serraaine Et-Tahta,Sareen El-Fawqa,Dis pensary of Sareen Municipality ,Dis pensary of Sareen Municipality ,مستوصف بلدية سرعين الفوقا (البلدية),Dr. Mohamad Chouman,08-335472,,03-477344 / 76-791660,doctorshuman@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,Yes,No,Sareen El-Fawqa Municipality,بلدية سرعين الفوقا
54111_31_001,36.36852497,34.38199426,54111,54001,Baalbek-El Hermel,بعلبك - الهرمل,El Hermel, الهرمل,Hermel,Hermel,The Lebanese Red cross Health Center / Hermel,The Lebanese Red cross Health Center Hermel,مركز الصليب الأحمر اللبناني/ الهرمل,Ms. Fatima Rachini,08-200089,,03-805746,fatima.rachini@hotmail.com / crl.hermel@hotmail.com,New180,Old IFS,No,No,No,No,No,Yes,No,The Lebanese Red Cross Association,جمعية الصليب الاحمر اللبناني
54111_31_002,36.385142,34.393067,54111,54001,Baalbek-El Hermel,بعلبك - الهرمل,El Hermel, الهرمل,Hermel,El Ouaqf,El Ouaqf Primary Healthcare,El Ouaqf Primary Healthcare,,Pr Lian Nasrallah ,,,03-703194,,No,No,No,No,No,No,No,Yes,No,MDM,0
54111_31_003,36.38483981,34.39676846,54111,54001,Baalbek-El Hermel,بعلبك - الهرمل,El Hermel, الهرمل,Hermel,Hermel,Hermel Governmental Health Center,Hermel Governmental Health Center,الهرمل الصحي الحكومي,Dr. Ahmad Farkhreddine,08-201599,08-201340,03-432681,dahmd2223@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Ministry of Public Health, وزارة الصحة العامة
54111_31_004,36.38606936,34.39719159,54111,54001,Baalbek-El Hermel,بعلبك - الهرمل,El Hermel, الهرمل,Hermel,Hermel,Hermel PHCC,Hermel PHCC,,Mr. Jihad Sakr - Manager,08-20464,,,,No,No,No,No,No,No,No,Yes,No,IMC,0
54111_31_005,36.38606936,34.39719159,54111,54001,Baalbek-El Hermel,بعلبك - الهرمل,El Hermel, الهرمل,Hermel,Hermel,MSF clinic ,MSF clinic ,,MSF Medical Team Leader,08-375036,,76-512743,msfch-bekaa-fma@geneva.msf.org,No,No,No,Yes,No,MSF,No,Yes,No,MSF-Ch,0
54111_31_006,36.40726168,34.40207219,54111,54001,Baalbek-El Hermel,بعلبك - الهرمل,El Hermel, الهرمل,Hermel,El-Maali El-Hermel,Batoul Helath Center,Batoul Helath Center,مركز البتول الصحي,Mrs. Rabia Shamas,08-201151,08-200118,71-352553,batoulhospital@hotmail.com / nadar123@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Islamic Health Society,الهيئة الصحية الاسلامية
54111_31_007,36.44055284,34.48093329,54111,54001,Baalbek-El Hermel,بعلبك - الهرمل,El Hermel, الهرمل,Hermel,Qasr,Al Qasser PHCC,Al Qasser PHCC,,Mrs. Amsha Joumaa - Manager ,,,70-108816,,No,No,No,No,No,No,No,Yes,No,IMC,0
55164_31_001,35.8310097,33.60879223,55164,55007,Bekaa,البقاع,Rachaya,راشيا,Biret Rachaiya,Azza,Abrar Medical center,Abrar Medical center,مركز الابرار الطبي/ عزه,Sheikh Mohamad Faraj,08-563207,,03-120784,alabrar.center@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,Yes,No,Abrar Islamic Charity Association, جمعية الابرار الخيرية الاسلامية
55124_31_001,35.8521804,33.5258523,55124,55015,Bekaa,البقاع,Rachaya,راشيا,Dahr El-Ahmar,Dahr El-Ahmar,The Child Care Center / Dahr El-Ahmar,The Child Care Center / Dahr El-Ahmar,رعاية الطفل/ضهر الاحمر,Chawki Bahmad,08-561159,,03-170926,,New180,Old IFS,No,No,No,No,No,Yes,No,The Child Care Association in Rachaia,جمعية رعاية الطفل راشيا
55151_31_001,35.853924,33.570977,55151,55011,Bekaa,البقاع,Rachaya,راشيا,Khirbet Rouha,Khirbet Rouha,rafik Hariri Foundation kherbet Rouha,rafik Hariri Foundation kherbet Rouha,,,08-564321,,,,No,No,No,Yes,No,IMC,No,Yes,No,,
55111_31_001,35.8446404,33.50128035,55111,55001,Bekaa,البقاع,Rachaya,راشيا,Rachaiya,Rachaia,Lebanese Red Cross / Rachaia,Lebanese Red Cross / Rachaia,مستوصف الصليب الاحمر اللبناني / راشيا,Nicolas El-Sayfi,08-591101,08-590540,03-852296,,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Lebanese Red Cross Association,جمعية الصليب الاحمر اللبناني
55111_31_002,35.83472,33.52155,55111,55001,Bekaa,البقاع,Rachaya,راشيا,Rachaiya,Rachaiya,Rachaya alwadi dispensary,Rachaya alwadi dispensary,مستوصف راشيا الوادي,youmna albitar  ,08-591177,,03-453675,saydatrashaya@live.com,New180,Old_list_ifs,No,No,No,No,No,Yes,No,Saydat rashaya Association,جمعية سيدات راشيا و البقاع الغربي
55111_31_003,35.845199,33.500386,55111,55001,Bekaa,البقاع,Rachaya,راشيا,Rachaiya,Rachaiya,MOSA Rachaya SDC,MOSA Rachaya SDC,مركز وزارة الشؤون الاجتماعية,Mr Mounir Mhanna,08-591106,,03-250851,,No,No,No,No,No,No,No,Yes,No,MOSA, وزارة الشؤون الاجتماعية
52227_31_001,35.82900052,33.67300002,52227,52025,Bekaa,البقاع,West Bekaa,البقاع الغربي,Ghazze,Ghaza,Ghaza Helath Center,Ghaza Helath Center,مركز غزة الصحي,Mr. Mansour Mansour,08-640638,,70-136182,satmansour@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Social Charitable Association,جمعية التعاون الاجتماعي الخيرية
52217_31_001,35.82170825,33.62001385,52217,52029,Bekaa,البقاع,West Bekaa,البقاع الغربي,Kamed El-Laouz,Kamed el Laouz,Kamed el Loz PHCC,Kamed el Loz PHCC,," Ehsan Hamoud /  Dr Malak Wehbe: 

",,,03-814903 / 70-106034,,No,No,No,Yes,No,Amel,No,Yes,No,AMEL,0
52111_31_001,35.65106079,33.52919036,52111,52095,Bekaa,البقاع,West Bekaa,البقاع الغربي,Machghara,Machgara,Machgara PHCC,Machgara PHCC,مستوصف الامام الصدر / مشغرة,Mr. Wael El-Mokadad / Dr Malak Wehbe,08-651125,,03-525987 / 70-106034,machgaracenter@hotmail.com,New180,Old_list_ifs,No,Yes,No,Amel,No,Yes,No,El-Imam El-Khomayni Association / AMEL ,جمعية الامام الخميني
52237_31_001,35.722055,33.565073,52237,52089,Bekaa,البقاع,West Bekaa,البقاع الغربي,Qaraaoun,Qaraaoun,Qaraaoun PHC center,Qaraaoun PHC center,مركز الرعاية الصحية الاولية القرعون,Mohamad Said kherfan,08-630440,,,,No,No,No,No,No,No,No,Yes,No,,
52237_31_002,35.723983,33.564337,52237,52089,Bekaa,البقاع,West Bekaa,البقاع الغربي,Qaraaoun,Qaraaoun,Qaraaoun charity center,Qaraaoun charity center,مستوصف القرعون الخيري,Samir amis,08-630543,,,,No,No,No,No,No,No,No,Yes,No,,
52267_31_001,35.68336072,33.51739037,52267,52084,Bekaa,البقاع,West Bekaa,البقاع الغربي,Sohmor,Sohmor ,The Lebanese Association for Health and Social Care/Sohmor,Lebanese Association for Health Sohmor,مستوصفات الجمعية اللبنانية للرعاية الصحية الاجتماعية/سحمر,Mr. Ahmad Krayem,08-635656,,03-635078,sohmor_health_cemter@hotmail.com,New180,Old_list_ifs,No,No,No,No,No,Yes,No,The Lebanese Association for Health and Social Care,الجمعية اللبنانية للرعاية الصحية الاجتماعية
51377_31_001,36.00507024,33.79423973,51377,51060,Bekaa,البقاع,Zahle,زحلة,Aain Kfar Zabad,Ein Kfar Zabad,Ein Kfar Zabad Socio-Medical Center,Ein Kfar Zabad Socio-Medical Center,المركز الصحي الاجتماعي - عين كفرزبد,Mrs. May Haddad,08-925790,,03-433965,mayhaddad99@yahoo.com,New180,Old IFS,No,No,No,No,No,Yes,No,El Choula Association, جمعية الشعلة
51323_31_001,36.026929,33.856221,51323,51073,Bekaa,البقاع,Zahle,زحلة,Aali En-Nahri,Ali Nahri,IHS Center for Primary Health Care Ali Al Nahri ,IHS Center for PHC Ali Al Nahri ,"مركز الرعاية الصحية الأولية في علي النهري، الهيئة الصحية الإسلامية.
",Mr Ayman Jomaa,08-921885,,03-580967,,No,No,No,Yes,No,IMC,No,Yes,No,Directed by Islamic health society, الهيئة الصحية الإسلامية
51267_31_001,35.90315043,33.77341981,51267,51057,Bekaa,البقاع,Zahle,زحلة,Barr Elias,Bar Elias,Bar Elias PHC Center,Bar Elias PHC Center,مركز بر إلياس الصحي,Dr. Hussein Hamad / Dr. Abdo Nabil El Kattan,08-510018,,70-841031,barelias-health-center@hotmail.com / ahmato97@hotmail.com / nellie.ghusayni@savethechildren .org,New180,Old IFS,Probation,Yes,No,IOM,No,Yes,No,The Ministry of Public Health with the Municipality of Bar Elias / Save the Children, مراكز وزارة الصحة العامة بادارة بلديات
51284_31_001,35.90497497,33.70947501,51284,51018,Bekaa,البقاع,Zahle,زحلة,Majdel Aanjar,Majdel Anjar,MSF clinic in Al Hudod Sport Club,MSF clinic in Al Hudod Sport Club,,MSF Medical Team Leader,,,76-512743,msfch-bekaa-fma@geneva.msf.org,No,No,No,Yes,No,MSF,No,Yes,No,MSF-Ch,0
51189_31_001,35.891667,33.859528,51189,51078,Bekaa,البقاع,Zahle,زحلة,Ouadi El-Aarayech,Ouadi El-Aarayech,Wadi Al Arayech clinic,Wadi Al Arayech clinic,مستوصف وادي العرايش,Sœur Ahlam Sawaya,,,03-068315,,No,No,No,No,No,No,No,Yes,No,The Ministry of Public Health ,وزارة الصحة العامة
51234_31_001,35.82105059,33.7941898,51234,51045,Bekaa,البقاع,Zahle,زحلة,Qabb Elias,Qabb Elias,Qabb Elias  PHC Center,Qabb Elias  PHC Center,مستوصف الجمعية الخيرية الاسلامية / قب الياس,Dr. Darwish Khan / Nellie Ghusayni,08-500688,08-501865,71-330793  / 03-955168,iws.phcc@hotmail.com / nellie.ghusayni@savethechildren .org,New180,Old IFS,No,Yes,No,MDM/Humedica,No,Yes,No,The Islamic Charity Association /MDM,الجمعية الخيرية الاسلامية
51221_31_001,35.86366052,33.80912975,51221,51054,Bekaa,البقاع,Zahle,زحلة,Taalbaya,Jlala,El-Imam El-Hussein / Jlala,El-Imam El-Hussein / Jlala,الامام الحسين - جلالا,Dr. kamal Dirani,08-508484,,03-094308,kamal.dirani@hotmail.com / bayano.net@hotmail.com,New180,Old IFS,No,No,No,No,No,Yes,No,The Mabarat Charity Association, جمعية المبرات الخيرية
51221_31_002,35.874528,33.819538,51221,51054,Bekaa,البقاع,Zahle,زحلة,Taalbaya,Taalbaya,Taalbaya PHC,Taalbaya PHC,,Mahmoud Barakeh,08-505563,,70-407009,,No,No,No,Yes,No,IOM,No,Yes,No,Omar Ben El Khatab Mosque,0
