Description,Quantity
Deflamol Creme                                                                                                          ,2
Depakine 500 Mg 40 Tab                                                                                                  ,1
Depakine Chrono Lp 500 Mg 30 Tab                                                                                        ,5
Depia 4 Mg                                                                                                              ,1
Dermofix Creme 30gr                                                                                                     ,1
Diacol Sirop 200ml                                                                                                      ,4
Dialon 1000mg Tab *30                                                                                                   ,3
Diameril 4 Mg 30 Tab                                                                                                    ,1
Diamicron Mr 60 Mg * 30 Tab                                                                                             ,3
Dianorm X R 1000 Mg 30 Tab                                                                                              ,3
Diclo Neurobion 20 Tab                                                                                                  ,2
Diclogesic 12.5 Mg Supp Enfant                                                                                          ,2
Diclogesic 50 Mg 20 Tab                                                                                                 ,4
Diclogesic Retard (100mg - 10)                                                                                          ,1
Dicynone 500 Mg 20 Tab                                                                                                  ,1
Dietaroma Capital memoire 60 cap,1
Difen B 12 Tab *15                                                                                                      ,2
Difen B12   5 Amp                                                                                                          ,2
Difen Flex Tab *30                                                                                                      ,1
Difen gesic 15 tab,1
Difen Plus 15 tab,1
Dilatrend 25 Mg 30 Cp                                                                                                   ,1
Dilatrend 6.25 30 Cp                                                                                                    ,1
Diovan 160 Mg 28 Tab                                                                                                    ,2
Diprofos 2 Ml 1 Amp                                                                                                     ,1
Diva 0.03mg/3mg 28 tab,2
Divido 75 Mg 20 Caps                                                                                                    ,1
Doliprane 300 Mg Supp *10                                                                                               ,1
Dologel  Gel Gingivl                                                                                                    ,1
Dolonil 5 amp/ 3 ml*,1
Doloraz 400 Mg 20 Cap                                                                                                   ,1
Dorixina 125mg *20tab                                                                                                   ,4
Dorixina Relax*20Tab,2
Dulcolax 40 Tab,5
Duloxetine 30 mg*28 Tab,2
Duphaston 10 Mg 20 Tab                                                                                                  ,2
Duralis 20mg 4 Tab                                                                                                      ,1
D-Vital 50.000,1
Dynamogen Amp*20,1
Earex ear plugs                                                                                            ,1
Ebixa 20 Mg * 28 Tab                                                                                                    ,1
Econaz 1%,1
Efferalgan 1gr Effer tab ,1
Eliza Orlistat 120mg,2
Eltroxin 100 Tab Germany                                                                                                ,2
Eosine 1% Sol Aq                                                                                 ,1
Epirazole 20 Mg 14 Tab                                                                                                  ,1
Epsom Salt 40gr sila                                                                                        ,1
Eracid 500 Mg 14 Tab                                                                                                    ,2
Erythromycin 1.5% Sol Meda                                                                                              ,1
Erythromycin 4% Sol Meda                                                                                                ,1
Esimag*30Tab,1
Eso Tad 20 Mg*14 Tab,1
Eso Tad 40Mg*14 Tab,3
Estecina 500 Mg 14 Tab                                                                                                  ,4
Etoxa 120 Mg,2
Etoxa 60 Mg*30 Tab,2
Eucarbon 100 Tab                                                                                                        ,4
Euro D 10000 * 30 Tab                                                                                                   ,1
Eurofer Cf 30 Cp                                                                                                       ,9
Euthyrox 100 Mg 100 Tab                                                                                                 ,2
Euthyrox 150 Mg 100 Tab                                                                                                 ,2
Euthyrox 25 Mg  100 Tab                                                                                                 ,2
Euthyrox 50 Mg 100 Tab                                                                                                  ,4
Exoderil Solution 10 Ml                                                                                                 ,1
Exomuc 200 Mg 30 Sachets                                                                                                ,1
Exonar 20 Mg*28 Tab,3
Exonar 40 Mg*28 Tab,4
Farcotilium 24 Tab                                                                                                      ,5
Farcotilium Sirop 120 Ml                                                                                                ,1
Fastum Gel 2.5% 50 G                                                                                                    ,2
Feminic 7 Gel De Toilette                                                                                               ,1
Fenadex 120 Mg * 15 Tab                                                                                                 ,1
Fermental Max 20 Tab                                                                                                        ,1
Ferplex 800mg 10vials Oral Iron                                                                                         ,1
Ferrate Oral Susp * 100 Ml                                                                                              ,1
Ferrolin C tab*30,1
Fertilin 30 cap,6
Finallerg 10mg 20 Tab                                                                                                   ,1
Fixim 400 Mg 10 Tab                                                                                                     ,1
Flagyl 250 Mg 20 Tab                                                                                                    ,1
Flagyl 500mg 14tab                                                                                                      ,16
Fleet Enema Extra Adult                                                                                                 ,1
Flexpro Extra 20 Tab,1
Floxin-L 500mg 7 tab,2
Flucalm Oral Solution 120 Ml                                                                                            ,2
Fludex Lp 30 Comprime                                                                                                   ,2
Fludinium 30 Cap                                                                                                        ,1
Flumix Benta 20 Tab,1
Flunazol 50 Mg 10 Cap                                                                                                   ,1
Flunazol Sirop 50 Mg / 5 Ml                                                                                             ,1
Fluzan 150 Mg 1 Tab                                                                                                     ,8
Folic Acide 5 Mg 50 Tab (mediphar)                                                                                      ,5
Fonginox 16 caps                                                                                                         ,2
Fortivial 30 cap*,3
Forty Fer*28 Tab,1
Forty Vit Syrup 100ml,1
Frenaler Cort 10 Tab                                                                                                    ,2
Frenaler Cort Sirop 60 Ml                                                                                               ,1
Fresh D 800 U I Oral Gout 50 Ml * 100 Doses                                                                             ,1
Fucicort Cream 20G,7
Fucidin cream 20G,10
Fucidin Pde 30 Gr                                                                                                       ,1
Fucithalmic Eye Drops 5 G                                                                                               ,2
Funzol 150 Mg                                                                                                           ,2
G.nuts Snack Bar Apricot ,3
Gabrika 25 Mg*30 Tab,1
Galvus Met 50 Mg / 850 Mg * 60 Tab                                                                                      ,3
Gamma Benzene Lotion 1%,4
Gamma shampoo 120ml,4
Ganaton 50 Mg * 30 Tab   ,1
Garnier  Color Offer                                                                                      ,1
Garnier 4 Hair Color                                                                                                    ,1
Garnier 5.3 Hair Color                                                                                                  ,1
Garnier 7.3 Hair Color                                                                                                  ,2
Garnier 8 Hair Color                                                                                                    ,1
Garnier Ambre Solaire Kids Lotion 150 ml,2
Garnier Micellair Cleanse Oil 100ML,1
Gasdep 500 Mg *45 Cap                                                                                                   ,1
Gastrimut 20 Mg 14 Cap                                                                                                  ,8
Gastropan 20 Mg 15*tab                                                                                                  ,1
Gastropan 40 Mg * 15 Tab                                                                                                ,1
Gaviscon 200 Ml Anti Acid Sirop                                                                                         ,2
Gentacort F C Cream *30gr                                                                                               ,2
Genteron*30 Tab,1
Gerimax 30 tab,2
Gerimax 60 Tab                                                                                                          ,2
Gestarelle G Cap *30                                                                                                    ,3
Ginkgo Max 30 Tab                                                                                                       ,6
Ginseng Plus*30Tab,1
Gipsy Wet Wipes 100,7
Glucophage 1000 Mg 30tab                                                                                                ,2
Glucophage 850 Mg 30 Tab F D C                                                                                          ,4
Glucophage X R 1000 Mg * 30 Tab                                                                                         ,6
Glucophage X R 500 Mg * 30 Tab                                                                                          ,1
Glucophage X R 750 Mg 30 Tab                                                                                            ,5
Glucosamine Chondroitin with MSM Healthy America,1
Glucovance 1000+ 5 Tab 30*                                                                                              ,1
Glycerin 60G Liquide Baddoura,5
Glycerin suppo enfant Mephico,2
Glycerine Supp Adult mephico                                                                                           ,10
Govital Magnesium vit B6 45 cooprimes,1
Granudoxy 100mg 15comp.                                                                                                 ,1
Gravol 50 Mg 30 Tab                                                                                                     ,5
Grepid 75 Mg * 30 Tab                                                                                                   ,3
Growing Up 1200 Gr,3
Growing Up 1600g                                                                                                        ,1
Growing Up 900g                                                                                                         ,5
Gyno-mikozal (400mg - 3)                                                                                                ,2
Hedecton Cough Syrup,3
Hepabyl Sirop 120 Ml (meph)                                                                                             ,2
Heperona 50 Mg 30 Tabs,1
Histalix Sirop150 Ml                                                                                                    ,4
Histamed F 30 Tab                                                                                                       ,6
Histamed F Sirop 90 Ml                                                                                                  ,4
Huile De ricin 30Ml Enipharm,1
Humex Rhume Tab                                                                                                         ,1
Hydrocortisone Acetate Cream                                                                                            ,1
Ibugesic Cold Sinus*20 Tab,2
Imodium 2 Mg 6 Tab                                                                                                      ,12
Indocollyre 0.1% 5 Ml                                                                                                   ,2
Insuline Mixtard 100 Iu &&&&&                                                                                           ,2
Intelectol*50Tab,1
Irodef 60 cap,1
Isomar Occhi Eye Drops                                                                                                  ,1
Isoptin 80 Mg 20 Dg                                                                                                     ,2
Isoptin Sr 240 Mg 20 Tab                                                                                                ,4
ISOTEARS 15ML Sterile Eye drops,4
Jana Camomilla Intima Ph 7 Femme                                                                                        ,2
Jana Camomilla Intima Ph8 Femme                                                                                         ,1
Jana Corn-out - for warts and corns,3
Joflam 50 Mg * 30 Tab                                                                                                   ,1
Julmentin 457 Mg Susp * 70 Ml                                                                                          ,24
Karbofin Forte 60 Capsules                                                                                              ,1
Kenatar Shampoo Hair & Body 200 Ml                                                                                      ,1
Ketolac 10mg 20t                                                                                                        ,1
Ketonaz Shampoo 100 Ml                                                                                                  ,1
Klacid Susp 60 Ml 125 Mg / 5 Ml                                                                                         ,1
Klerax Wipes 72pcs,2
Kopico Coffee Sugar Free Bag,1
Lady Care Acetone Herbal                                                                                                ,1
Lamisil Cream 15g                                                                                             ,1
Lanolept 100Mg*60Tab,1
Lasix 40 Mg 20 Tab                                                                                                      ,13
Leflumax 500mg 7*tab                                                                                                    ,1
Leflumax 750mg 5*tab                                                                                                    ,2
Lepigine 100 Mg 30 Tab                                                                                                  ,1
Levipram 500 Mg 100 Tab,1
Levomed 500 Mg 7 Tab                                                                                                    ,2
Liblab Cough Syrup 100 Ml                                                                                               ,6
lile de s coconut oil spray 150ml ,1
Lioresal 25 Mg 50 Tab                                                                                                   ,1
Lipanthyl 160 Mg 30 Tab                                                                                                 ,1
Lipanthyl 200 M 30 Cap                                                                                                  ,4
Lomexin 600 Mg 1 Ovule                                                                                                  ,1
Lomexin Topical Cream 2 %                                                                                               ,1
Lopid 600 Mg 30 Tab                                                                                                     ,2
Loratin 10mg * 20 Tab                                                                                                   ,2
Losanet 50 Mg 30 Tab                                                                                                    ,1
Lotriderm Creme 30 G                                                                                                    ,7
Lowrac 5mg Cap *28                                                                                                      ,2
LPZ 30mg 30tab,12
Maalox Plus 30 Tab                                                                                                      ,1
Mag Def 60 cap,2
Magbian Tab * 30 Tab                                                                                                    ,1
Magnacef 60ml Susp 100mg/5ml                                                                                                     ,1
Magnacef400 6cap                                                                                                        ,1
Magne B6  50 Tab                                                                                                        ,9
Magne Vie B 6 100mg/10mg * 60 Tab                                                                                       ,1
Magnesium Marine 30cap,2
Maltofer Fol 30 Tab                                                                                                     ,3
Malva Baby Colic Gel 75mg Calming,1
Malva Femme Intime 200ml                                                                                                             ,1
Malva pH8 Anti Mycoses 200ml,1
Marinas - Lixol Sweetener,2
Marinas Hemo-Herb Creme,1
Marvelon 21 Tab                                                                                                         ,19
Matador 750 Mg Tab *5                                                                                                   ,1
Maxi D 10000 I U * 30 Tab Green Made                                                                                    ,9
Maxifen Tab *10 Mediphar                                                                                                ,2
Maxilase 3000 Mg 24 Tab                                                                                                 ,10
Maxilase Sirop 125 Ml                                                                                                   ,4
Maximum * 3 Normal                                                                                                      ,6
Mebo Pommade 30 G                                                                                                       ,3
Med Angin Sugar Free                                                                                                        ,6
Medicate                                                                                                                ,3
Medihoney Antibacterial Cream 20 G,2
Medistan 20 Cap,1
Mega Q10 200 Mg 30 Softgels,2
Megamag 45mg 40cap                                                                                                      ,1
Meladorm Drops 30 ml,1
Melanoctina Drops,2
Melatonin Pura 5 Mg * 60 Tab                                                                                            ,5
Memora 10 Mg*30 Tab,1
Mentex Sirop 125 Ml                                                                                                     ,1
Mephigastryl 20 Caps                                                                                                    ,1
Mermaid Powder 120 Gr                                                                                                   ,4
Meteospasmyl 30 Cp                                                                                                      ,4
Metformine Arrow Lab 1000 mg* 30 cp*,1
Metrolag 500 Mg 24 Tab                                                                                                  ,2
Metrolag Sirop 60 Ml                                                                                                    ,11
Micardis 40 Mg 28 Tablets                                                                                               ,1
Micardis 80 Mg 28 Tab                                                                                                   ,2
Micardis Plus 80/12.5mg Tab28                                                                                           ,2
Micozole Oral Gel                                                                                                       ,14
Microclismi Adult Enema 6*9gr                                                                                           ,1
Moduretic 30 Cp                                                                                                         ,1
Mono Tildiem Sr 300 Mg 28 Cap                                                                                           ,1
Monocinque Retard 50 Mg 30 Cap                                                                                          ,1
Montage Serum                                                                                                           ,3
Monurol 3 Gr * 1 Sachet                                                                                                 ,1
Mosar 5 Mg 20 Tab                                                                                                       ,2
Motilat 10mg  30tab                                                                                                     ,4
Motilium Sirop 200 Ml                                                                                                   ,3
Movicol 20 Sachet                                                                                                        ,1
moxiclav bis 457MG /5ML,2
Mucosolvan La 75 Mg 10 Cap                                                                                              ,2
Mucosolvan Sirop 30 Mg/5 Ml  100 Ml                                                                                     ,1
Mucotal Sp Enf                                                                                                          ,2
Multi Complex Senior 30 Tab                                                                                             ,1
Murex 400Mg*5Tab,1
Murex Sirop 100mg/5ml 60ml,1
Muscerol 2  20 Tab                                                                                                      ,8
Muscerol 3 30 Tab,10
Muscerol Extra 20 Tab                                                                                                   ,6
Mycicort Ointment,1
Mydocalm 30 Tab                                                                                                         ,2
Myxen 150 Mg 1 Tablet                                                                                                   ,15
Naphcon A Gouttes 15 Ml                                                                                                 ,8
Nasonex 120 Spr                                                                                                         ,2
Natrixam 1.5mg/5mg 30 tab,2
Nausetron Sirop 4 Mg/5 Ml 100ml,1
NAUSYL DROPS 30ML ,1
Navela 1.5 mg  ONE TAB,1
Nebilet 5 Mg 30 Cp                                                                                                      ,2
Neo Baby Gripe Water                                                                                                    ,1
Neurexal 75 Mg * 14 Tab                                                                                                 ,2
Neurobion 6amp,1
Neurobion*30 Tab,7
Neurorubine Forte 20 Tab                                                                                                ,2
Neurotop Ret 300 Mg 50 Tab                                                                                              ,2
Neurovit 20 Tab                                                                                                         ,1
Nevella Sachets x50,1
Nexium 20mg 28tab,2
Nexium 40mg 28tab,2
Nicorette 4 Mg Mint *30 T Sugar Free                                                                                    ,1
Nido No 1 F.honey 400 G                                                                                                 ,2
Nido No 1+ Bag in Box honey 288 G        ,10
Nifelat LA 60 MG*,1
Nizoral Shampoo 100 Ml                                                                                                  ,1
Norgesic 30 tablets,1
Normix 200mg 12tab                                                                                                      ,5
Normix Oral Suspension 2g/100ml                                                                                         ,2
Normocalm 500 Mg 30 Tab                                                                                                 ,1
Noroxin 400 Mg 14 Tab                                                                                                   ,1
Novalac 3 Genio 800gr                                                                                                   ,3
Novalac Allernova 400gr,2
Novalac Ar Digest 400 Gr                                                                                                ,1
Novalac It1*400g                                                                                                        ,5
Novalac IT2 800gr,1
Novalac It2*400g                                                                                                        ,1
Novex 30cap,1
Novorapid Flexpen 5*3ml 100/ml                                                                                          ,1
Nursie 2*400 Gr                                                                                                         ,12
Nursie Lactofidus 400gr,8
Nutri Mamma,1
Nutricap Anti Chute 180 Tab                                                                                             ,1
Nutricap Antichute 60 Cap                                                                                               ,1
Nyda Spray,2
Oflox Gouttes 5 Ml                                                                                                      ,5
Omega 3 Nutri Labs,1
Omeprazole 20mg 30cap Pharmadex,3
Omezol Benta 20 Mg*30 Tab,3
Omnic Ocas 0.4 Mg * 30 Tab                                                                                              ,2
One Touch Select Strips                                                                                                 ,2
Oradus 5 Mg * 30 Tab                                                                                                    ,2
Oradus Beta*10Tab,4
Oral B 3 Effect Classic,2
Oral B Dental Essentiale Floss Mint Waxe                                                                                ,1
Orapaine 20 pastilles Croquer sans sucre,2
Oravil Vit D3 100000iu                                                                                                  ,1
Ospamox 1000 *16 Tab                                                                                                    ,1
Osteodol 30 Caps ,1
Osteral 35 Mg 4 Tab                                                                                                     ,2
Otipax Gttes 16 G                                                                                                       ,5
Otocol Ear Drops,1
Otrivin Spray 0.05% Metred Dose Nasal Spray 10ml                                                                        ,1
Ou Oui Swimipants 7-14 kg 15pcs,1
Oui Oui Couche 12-25 Kg                                                                                                 ,1
Oui Oui Couche 16-30 Kg *32                                                                                             ,1
Oui Oui Couche 9-18 Kg                                                                                                  ,1
Oui Oui swimpants 13-22 kg,1
Ovol Gttes 15 Ml                                                                                                        ,6
Ovumix Vag Supp *6                                                                                                      ,2
Pampers 16 Kg Xx Large *36                                                                                              ,1
Pampers Double 5 11-25*35 ,1
Pampers NewBorn n1 26,1
Pampers Small 2 3-8kg * 25                                                                                                  ,2
Panadol Advance 24 Tab                                                                                                  ,41
Panadol Advance 72Tab,18
Panadol Cold & Flu Yellow * 24 Tab                                                                                      ,5
Panadol Extra 24 Tab                                                                                                    ,16
Panadol Extra*48 Tab,3
Panadol Joint Tab * 18 Tab                                                                                              ,4
Panadol Migraine 24 caplets,4
Panadol Night 20 Tab                                                                                                    ,2
Panadol Sirop 5-12 Years 100 Ml                                                                                         ,7
Panadol Sirop Enfant                                                                                                    ,50
Panderm Creme 15 Gr                                                                                                     ,6
Pantomax 20mg 15 tab,2
Pantomax 40 Mg Cap *30,1
Paracetamol 60 ml*,1
Paracetamol Sachet,40
Pectol 6 pcs Lemon,2
Pectol Fresh Honey and Lemon,9
Pectol Head Sugar Free Eucalyptus,1
Pediafer Gouttes 50 Ml                                                                                                  ,1
Pediavit D 800 Oral Gout                                                                                                ,2
Pediavit D Dovit Vit D Gouttes 50 Ml                                                                                    ,4
Pediavit D+dha Oral Goutt                                                                                               ,1
Pediavit Junior Complete 60 tabs,1
Pediavit Multi Gtt+vit E                                                                                                ,1
Perfetus 30 gelules,1
Pharmastrip Wound Closure 6x100 mm,3
Pharyndol Adult Spray,1
Pharyndol Spray Gorge Enfant,1
Physiomer Jet Fort 210 Ml                                                                                               ,4
PhytoFer*30 Tab,1
Phytolin Cough Sirop 125 Ml                                                                                             ,1
Phytorelax 30 Capsules,1
PMS-Risedronate 35 Mg 4 Comp,1
Polygynax 6 Ovules                                                                                                      ,6
Ponstan Forte 500 Mg 20 Tab                                                                                             ,2
Power C 1000 MG 20 EFF*,2
Power Vit (Sensilab),1
Power Vit 20 Effer,3
Pravafen 40/160Mg*30Tab,1
Praxilen 200 Mg 20 Tab                                                                                                  ,3
Pred Forte Gttes 5 Ml                                                                                                   ,2
Predicor  5 Mg 30 Tab                                                                                                   ,1
Predicor 20 Mg 20 Tab                                                                                                   ,1
Prednisone 10 Mg 40 Tab                                                                                                 ,1
Prednisone 20 Mg 20 Tab                                                                                                 ,1
Prednisone 5 Mg 30 Tab Mediphar                                                                                         ,2
Prednisone 50 Mg 20 Tab                                                                                                 ,1
Pregnatal 30 Tab                                                                                                        ,1
Pregnazon Complete 60caps,1
Preterax Arginine 2.5mg/0.625mg 30 Tab                                                                                  ,2
Previal Tab,4
Procoralan 5 Mg 56 Tab,1
Profenid Suppositories100 Mg 12 Supp                                                                                    ,9
Profenid Tablet 100 Mg 30 Tab                                                                                           ,4
Profinal 400 Mg 24 Tab                                                                                                  ,3
Profinal 600 Mg 40 Tab                                                                                                  ,3
Profinal X P F/c Caplets 20 Tab                                                                                         ,6
Progest 100mg 30 Soft Caps                                                                                              ,1
Progest 200  15 Soft Caps                                                                                               ,1
Prometal 25mg 20tab,2
Prostafine 0.4 Mg 30 Tab                                                                                                ,7
Proxen 250 Mg 20 Tab                                                                                                    ,1
Proxen 500 Mg 20 Tab                                                                                                    ,3
Pyralvex Solution 10 Ml                                                                                                 ,1
Rapidus 50  X  20tab                                                                                                    ,6
Ravana 5 Mg * 30 Tab                                                                                                    ,1
Redoxon 10 Tab Eff                                                                                                      ,1
Regula Plus 60 Tablets                                                                                                  ,1
Relax 20 Couches                                                                                                        ,2
Relief Gel 50g                                                                                                          ,3
Relief Gentle *20 Tab                                                                                                   ,29
RELI-FLU 20TAB,1
Rennie 96 Cp                                                                                                            ,3
Retadox 100 Mg 10 Cap                                                                                                   ,1
Ribavan 10mg 10 tab,2
Rinex Nasal Spray *120 Sprays                                                                                           ,1
Rinsidin 0.1% Solution 150 Ml                                                                                           ,1
Risperdal 1 Mg 20 Tab,1
Risperdal 1 Mg 6 Tab                                                                                                    ,1
Rocephine 1g Iv Inj                                                                                                     ,1
Rodogyl 20 Tab                                                                                                          ,2
Rofenac D Tab *20                                                                                                       ,5
Rowatinex 30 Cap                                                                                                        ,2
Roxil 250mg/5ml Oral Suspen                                                                                             ,2
Roxil 500mg 20cap                                                                                                       ,1
Roxonin Tape 100 mg*,1
